 Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
6,116744379,105,136,2932,238712.0,660,0,27.92380952,98.58700718,4380,0,1755.235294,961.5704688,2069.855543,2.064339218,486434.9125,2117617.133,10000000.0,0.0,117000000.0,1122542.106,3119680.795,10000000.0,4.0,111000000.0,825122.0963,2750099.571,10000000.0,2.0,0,0,0,0,2112,2864,0.899400904,1.164938314,0,4380,998.5289256,1122.429368,1259847.686,0,0,0,1,0,0,0,0,1,1002.672199,27.92380952,1755.235294,2112,0,0,0,0,0,0,105,2932,136,238712,8192,298,104,20,119274.5,331743.6336,1172702.0,23454.0,9609423.417,1347976.431,10000000.0,5329061.0,BENIGN
6,618906,7,7,376,3788.0,201,0,53.71428571,78.68653906,1460,0,541.1428571,661.7178222,6728.000698,22.6205595,47608.15385,103733.8546,385021.0,39.0,612780.0,102130.0,139363.243,385021.0,24522.0,572869.0,95478.16667,169817.1103,430715.0,48.0,0,0,0,0,152,152,11.31027975,11.31027975,0,1460,277.6,505.5754571,255606.5429,0,0,0,1,0,0,0,0,1,297.4285714,53.71428571,541.1428571,152,0,0,0,0,0,0,7,376,7,3788,8192,60,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,76284183,15,20,3641,590.0,1187,0,242.7333333,389.2115596,72,0,29.5,31.70173497,55.46366014,0.458810708,2243652.441,7549689.205,30900000.0,3.0,76200000.0,5443370.429,11300000.0,31000000.0,18.0,76200000.0,4012998.316,9865114.892,31000000.0,3.0,1,0,0,0,480,640,0.196633161,0.262177547,0,1187,126.5277778,270.9629902,73420.94206,0,1,0,0,1,0,0,0,1,130.1428571,242.7333333,29.5,480,0,0,0,0,0,0,15,3641,20,590,332,541,9,32,131024.3333,639.5907546,131632.0,130357.0,25200000.0,8737019.882,30900000.0,15100000.0,BENIGN
17,47358,1,1,41,139.0,41,41,41.0,0.0,139,139,139.0,0.0,3800.836184,42.23151316,47358.0,0.0,47358.0,47358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,21.11575658,21.11575658,41,139,73.66666667,56.58032638,3201.333333,0,0,0,0,0,0,0,0,1,110.5,41.0,139.0,32,0,0,0,0,0,0,1,41,1,139,-1,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
17,23486,2,2,66,214.0,33,33,33.0,0.0,107,107,107.0,0.0,11921.99608,170.3142298,7828.666667,13554.45227,23480.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,64,40,85.15711488,85.15711488,33,107,62.6,40.53146926,1642.8,0,0,0,0,0,0,0,0,1,78.25,33.0,107.0,64,0,0,0,0,0,0,2,66,2,214,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,115353353,16,14,434,1774.0,434,0,27.125,108.5,1774,0,126.7142857,474.1214432,19.14118613,0.260070464,3977701.828,4874646.849,10000000.0,72.0,115000000.0,7690223.533,4185322.802,10000000.0,196.0,111000000.0,8506080.077,3760740.961,10000000.0,25531.0,0,0,0,0,520,456,0.138704247,0.121366216,0,1774,71.22580645,325.4824839,105938.8473,0,0,0,1,0,0,0,0,0,73.6,27.125,126.7142857,520,0,0,0,0,0,0,16,434,14,1774,29200,939,1,32,44739.27273,19523.52802,103604.0,38686.0,10000000.0,3115.94705,10000000.0,9999299.0,BENIGN
17,31973,2,2,58,90.0,29,29,29.0,0.0,45,45,45.0,0.0,4628.905639,125.1055578,10657.66667,18453.55799,31966.0,3.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,64,64,62.55277891,62.55277891,29,45,35.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,44.25,29.0,45.0,64,0,0,0,0,0,0,2,58,2,90,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,1,2,0,37,0.0,31,6,18.5,17.67766953,0,0,0.0,0.0,37000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,2000000.0,0.0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,0,2,37,0,0,946,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,42,1,3,6,18.0,6,6,6.0,0.0,6,6,6.0,0.0,571428.5714,95238.09524,14.0,20.80865205,38.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.414213562,3.0,1.0,0,0,0,0,20,60,23809.52381,71428.57143,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,3,7.5,6.0,6.0,20,0,0,0,0,0,0,1,6,3,18,252,2049,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,26,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,76923.07692,26.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,38461.53846,38461.53846,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,905,229,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
